elapsed_seconds,scenario_label,raw_yaw,raw_pitch,raw_roll,yaw,pitch,roll,yaw_suspicious,pitch_suspicious,roll_suspicious,dropout_suspicious,gaze_suspicious,suspicious,gaze_x,gaze_y,gaze_valid,device_detected,risk_level
37.859,,-4.2,-167.24,-3.09,-1.76,-0.21,-0.26,False,False,False,False,False,False,-0.009,-0.004,True,False,LOW
37.881,,-3.29,-167.8,-3.0,-1.65,-0.28,-0.25,False,False,False,False,False,False,-0.009,-0.005,True,False,LOW
38.01,,-3.7,-167.42,-3.15,-1.47,-0.33,-0.28,False,False,False,False,False,False,-0.008,-0.01,True,False,LOW
38.035,,-4.55,-168.02,-2.95,-1.56,-0.42,-0.26,False,False,False,False,False,False,-0.007,-0.013,True,False,LOW
38.16,,-4.04,-167.61,-2.76,-1.58,-0.49,-0.11,False,False,False,False,False,False,-0.006,-0.011,True,False,LOW
38.184,,-4.34,-167.62,-2.79,-1.62,-0.51,-0.09,False,False,False,False,False,False,-0.009,-0.01,True,False,LOW
38.305,,-3.96,-167.47,-2.7,-1.58,-0.48,0.0,False,False,False,False,False,False,-0.008,-0.011,True,False,LOW
38.333,,-4.35,-167.61,-2.72,-1.63,-0.49,0.02,False,False,False,False,False,False,-0.007,-0.013,True,False,LOW
38.438,,-4.13,-168.08,-2.68,-1.65,-0.72,0.07,False,False,False,False,False,False,-0.001,-0.011,True,False,LOW
38.461,,-4.28,-167.95,-2.59,-1.68,-0.74,0.09,False,False,False,False,False,False,-0.003,-0.01,True,False,LOW
38.606,,-4.19,-168.02,-2.49,-1.71,-0.86,0.21,False,False,False,False,False,False,-0.002,-0.008,True,False,LOW
38.629,,-5.75,-169.02,-2.54,-1.93,-1.01,0.22,False,False,False,False,False,False,-0.007,0.003,True,False,LOW
38.797,,-5.07,-168.96,-2.45,-2.3,-1.49,0.3,False,False,False,False,False,False,-0.02,0.003,True,False,LOW
38.821,,-4.72,-168.36,-2.55,-2.29,-1.47,0.3,False,False,False,False,False,False,-0.014,-0.006,True,False,LOW
39.0,,-4.54,-168.27,-2.53,-2.19,-1.35,0.3,False,False,False,False,False,False,-0.01,-0.005,True,False,LOW
39.024,,-3.79,-168.58,-2.41,-2.08,-1.38,0.32,False,False,False,False,False,False,-0.011,-0.004,True,False,LOW
39.199,,-4.48,-169.56,-2.65,-2.06,-1.99,0.24,False,False,False,False,False,False,-0.009,-0.006,True,False,LOW
39.221,,-4.67,-168.58,-2.81,-2.08,-1.93,0.22,False,False,False,False,False,False,-0.008,-0.01,True,False,LOW
39.405,,-4.08,-168.32,-2.6,-1.84,-1.59,0.22,False,False,False,False,False,False,-0.002,-0.013,True,False,LOW
39.426,,-4.93,-167.9,-2.33,-1.92,-1.5,0.26,False,False,False,False,False,False,0.019,-0.008,True,False,LOW
39.6,,-4.97,-167.46,-2.14,-2.24,-0.93,0.48,False,False,False,False,False,False,0.026,-0.006,True,False,LOW
39.623,,-5.08,-169.03,-2.14,-2.29,-1.07,0.51,False,False,False,False,False,False,0.018,-0.001,True,False,LOW
39.804,,-5.19,-170.32,-2.26,-2.54,-2.28,0.54,False,False,False,False,False,False,0.018,-0.005,True,False,LOW
39.827,,-4.26,-168.5,-2.0,-2.45,-2.17,0.58,False,False,False,False,False,False,-0.007,-0.007,True,False,LOW
39.998,,-4.42,-169.31,-1.93,-2.2,-2.23,0.75,False,False,False,False,False,False,-0.007,-0.013,True,False,LOW
40.022,,-3.22,-169.23,-1.97,-2.01,-2.23,0.76,False,False,False,False,False,False,-0.006,-0.01,True,False,LOW
40.211,,-2.1,-169.71,-2.1,-0.69,-2.47,0.74,False,False,False,False,False,False,-0.02,-0.006,True,False,LOW
40.233,,-1.77,-168.67,-1.68,-0.51,-2.37,0.79,False,False,False,False,False,False,-0.012,-0.004,True,False,LOW
40.4,,-2.57,-168.45,-1.79,-0.31,-1.88,0.92,False,False,False,False,False,False,-0.011,-0.007,True,False,LOW
40.423,,-2.72,-168.14,-1.84,-0.3,-1.78,0.93,False,False,False,False,False,False,-0.011,-0.007,True,False,LOW
40.607,,-2.73,-169.47,-1.89,-0.3,-2.13,0.94,False,False,False,False,False,False,-0.018,-0.004,True,False,LOW
40.632,,-1.55,-171.28,-1.57,-0.13,-2.43,0.98,False,False,False,False,False,False,0.002,-0.007,True,False,LOW
40.799,,-1.69,-172.8,-1.76,0.33,-4.23,1.03,False,False,False,False,False,False,0.003,-0.003,True,False,LOW
40.823,,-2.81,-172.5,-1.3,0.24,-4.4,1.09,False,False,False,False,False,False,0.01,-0.007,True,False,LOW
41.003,,-3.43,-172.56,-1.62,-0.42,-5.03,1.15,False,False,False,False,False,False,0.006,-0.009,True,False,LOW
41.027,,-4.61,-171.36,-1.58,-0.66,-4.93,1.17,False,False,False,False,False,False,0.002,-0.008,True,False,LOW
41.199,,-5.34,-171.96,-1.73,-1.87,-4.93,1.13,False,False,False,False,False,False,0.011,-0.005,True,False,LOW
41.223,,-5.26,-172.05,-1.56,-2.01,-4.94,1.15,False,False,False,False,False,False,0.011,-0.007,True,False,LOW
41.408,,-7.02,-172.36,-1.51,-3.45,-5.15,1.24,False,False,False,False,False,False,0.001,-0.007,True,False,LOW
41.43,,-7.91,-173.46,-1.8,-3.73,-5.32,1.22,False,False,False,False,False,False,0.005,-0.007,True,False,LOW
41.597,,-7.28,-172.49,-1.98,-4.33,-5.39,1.03,False,False,False,False,False,False,0.007,-0.007,True,False,LOW
41.62,,-7.31,-173.8,-1.81,-4.4,-5.58,1.03,False,False,False,False,False,False,0.001,-0.01,True,False,LOW
41.803,,-7.99,-174.3,-2.23,-5.04,-6.51,0.8,False,False,False,False,False,False,-0.022,-0.008,True,False,LOW
41.826,,-6.46,-173.63,-2.2,-4.91,-6.52,0.78,False,False,False,False,False,False,-0.017,-0.009,True,False,LOW
41.998,,-6.77,-175.36,-2.11,-4.61,-7.49,0.75,False,False,False,False,False,False,-0.016,-0.005,True,False,LOW
42.022,,-7.73,-176.66,-1.97,-4.7,-7.81,0.76,False,False,False,False,False,False,-0.02,-0.003,True,False,LOW
42.206,,-6.12,-175.98,-2.09,-4.15,-8.44,0.75,False,False,False,False,False,False,-0.049,0.015,True,False,LOW
42.229,,-3.12,-176.68,-2.17,-3.66,-8.61,0.74,False,False,False,False,False,False,0.016,0.057,False,False,LOW
42.407,,-1.24,-175.26,-2.72,-0.91,-8.41,0.4,False,False,False,False,True,True,-0.025,0.04,True,False,LOW
42.564,,-0.45,-175.17,-1.83,0.63,-8.27,0.7,False,False,False,False,False,False,-0.03,0.008,True,False,LOW
42.67,,0.74,-175.42,-1.69,1.74,-8.32,0.88,False,False,False,False,False,False,-0.027,0.004,True,False,LOW
42.694,,1.1,-175.71,-1.99,2.02,-8.37,0.87,False,False,False,False,False,False,-0.01,0.001,True,False,LOW
42.799,,1.7,-175.33,-2.09,2.95,-8.34,0.82,False,False,False,False,False,False,-0.008,0.0,True,False,LOW
42.822,,2.09,-175.99,-1.9,3.18,-8.42,0.83,False,False,False,False,False,False,-0.012,0.004,True,False,LOW
43.005,,3.25,-175.39,-1.91,4.61,-8.39,0.88,False,False,False,False,False,False,-0.016,0.007,True,False,LOW
43.027,,2.88,-176.18,-1.94,4.71,-8.48,0.88,False,False,False,False,False,False,-0.016,0.002,True,False,LOW
43.197,,3.08,-176.41,-1.97,5.15,-8.95,0.87,False,False,False,False,False,False,-0.02,0.0,True,False,LOW
43.219,,2.21,-176.53,-1.73,5.08,-9.03,0.9,False,False,False,False,False,False,-0.008,0.004,True,False,LOW
43.393,,2.37,-175.76,-1.65,4.94,-8.87,1.05,False,False,False,False,False,False,-0.009,0.002,True,False,LOW
43.423,,2.12,-175.39,-1.67,4.88,-8.79,1.07,False,False,False,False,False,False,-0.009,0.004,True,False,LOW
43.598,,1.75,-174.85,-1.64,4.51,-8.28,1.13,False,False,False,False,False,False,-0.002,0.004,True,False,LOW
43.621,,2.25,-174.24,-1.84,4.54,-8.13,1.11,False,False,False,False,True,True,-0.015,0.04,True,False,LOW
43.792,,1.37,-174.64,-1.71,4.16,-7.86,1.12,False,False,False,False,False,False,-0.022,0.012,True,False,LOW
43.822,,1.4,-172.76,-1.96,4.11,-7.49,1.08,False,False,False,False,False,False,-0.013,0.033,True,False,LOW
44.0,,0.88,-174.89,-1.8,3.69,-7.69,1.05,False,False,False,False,False,False,-0.006,0.005,True,False,LOW
44.023,,0.32,-174.67,-1.58,3.56,-7.68,1.08,False,False,False,False,False,False,0.031,0.001,True,False,LOW
44.188,,0.74,-174.72,-1.55,3.36,-7.69,1.18,False,False,False,False,False,False,0.038,-0.002,True,False,LOW
44.219,,0.64,-174.66,-1.7,3.32,-7.68,1.17,False,False,False,False,False,False,0.041,-0.002,True,False,LOW
44.4,,0.54,-174.86,-1.6,3.14,-7.76,1.2,False,False,False,False,False,False,0.042,-0.002,True,False,LOW
44.423,,1.9,-174.07,-1.34,3.29,-7.67,1.24,False,False,False,False,False,False,0.053,-0.004,True,False,LOW
44.589,,1.94,-175.83,-1.28,3.86,-8.25,1.4,False,False,False,False,False,False,0.059,0.0,True,False,LOW
44.62,,1.87,-176.01,-1.16,3.93,-8.37,1.44,False,False,False,False,False,False,0.057,0.002,True,False,LOW
44.801,,2.11,-176.35,-1.18,4.27,-8.88,1.55,False,False,False,False,False,False,0.055,-0.0,True,False,LOW
44.826,,2.26,-175.71,-1.3,4.33,-8.86,1.55,False,False,False,False,False,False,0.055,0.001,True,False,LOW
44.989,,1.95,-176.77,-1.2,4.36,-9.31,1.59,False,False,False,False,False,False,0.058,0.005,True,False,LOW
45.021,,2.29,-176.13,-1.14,4.42,-9.27,1.61,False,False,False,False,False,False,0.061,0.002,True,False,LOW
45.198,,1.81,-175.73,-1.25,4.33,-8.97,1.59,False,False,False,False,False,False,0.051,0.002,True,False,LOW
45.22,,1.65,-176.23,-1.25,4.3,-9.0,1.59,False,False,False,False,False,False,0.049,0.003,True,False,LOW
45.403,,1.68,-176.09,-1.24,4.2,-9.03,1.59,False,False,False,False,False,False,0.048,0.001,True,False,LOW
45.426,,1.46,-175.78,-1.17,4.17,-9.0,1.6,False,False,False,False,False,False,0.049,0.003,True,False,LOW
45.607,,1.05,-175.28,-1.25,3.8,-8.6,1.59,False,False,False,False,False,False,0.054,0.001,True,False,LOW
45.633,,1.13,-174.9,-1.06,3.77,-8.49,1.61,False,False,False,False,False,False,0.07,0.002,True,False,LOW
45.798,,1.3,-174.92,-0.87,3.75,-8.18,1.79,False,False,False,False,False,False,0.066,0.001,True,False,LOW
45.821,,1.39,-175.28,-0.86,3.76,-8.19,1.81,False,False,False,False,False,False,0.059,0.001,True,False,LOW
46.01,,1.34,-174.79,-1.03,3.77,-7.95,1.81,False,False,False,False,False,False,0.057,0.001,True,False,LOW
46.033,,0.84,-175.77,-1.21,3.71,-8.05,1.78,False,False,False,False,False,False,0.056,0.002,True,False,LOW
46.201,,1.47,-175.3,-1.16,3.81,-8.17,1.72,False,False,False,False,False,False,0.031,0.0,True,False,LOW
46.225,,0.72,-175.18,-1.36,3.72,-8.16,1.69,False,False,False,False,False,False,-0.019,-0.003,True,False,LOW
46.4,,0.58,-174.7,-1.54,3.35,-7.9,1.48,False,False,False,False,False,False,-0.014,0.025,True,False,LOW
46.423,,1.19,-175.36,-1.78,3.39,-7.96,1.42,False,False,False,False,False,False,-0.019,0.012,True,False,LOW
46.592,,1.21,-175.8,-1.73,3.52,-8.38,1.26,False,False,False,False,False,False,-0.005,0.002,True,False,LOW
46.621,,0.95,-175.33,-1.38,3.5,-8.37,1.29,False,False,False,False,False,False,-0.004,-0.003,True,False,LOW
46.797,,0.6,-175.55,-1.45,3.26,-8.45,1.34,False,False,False,False,False,False,-0.002,-0.001,True,False,LOW
46.821,,0.53,-175.26,-1.4,3.22,-8.42,1.35,False,False,False,False,False,False,-0.005,-0.002,True,False,LOW
46.989,,0.91,-175.52,-1.39,3.29,-8.46,1.4,False,False,False,False,False,False,-0.003,-0.0,True,False,LOW
47.02,,1.18,-175.96,-1.44,3.34,-8.53,1.39,False,False,False,False,False,False,-0.005,-0.001,True,False,LOW
47.197,,1.41,-176.07,-1.29,3.61,-8.8,1.47,False,False,False,False,False,False,-0.007,0.0,True,False,LOW
47.219,,1.58,-175.56,-1.33,3.66,-8.77,1.47,False,False,False,False,False,False,-0.005,-0.0,True,False,LOW
47.391,,1.51,-175.42,-1.27,3.81,-8.57,1.52,False,False,False,False,False,False,-0.005,0.001,True,False,LOW
47.42,,2.23,-175.01,-1.11,3.95,-8.48,1.55,False,False,False,False,False,False,-0.0,0.001,True,False,LOW
47.598,,1.91,-174.7,-1.2,4.16,-8.05,1.59,False,False,False,False,False,False,0.001,0.002,True,False,LOW
47.622,,1.69,-175.07,-1.33,4.16,-8.05,1.58,False,False,False,False,False,False,0.001,-0.001,True,False,LOW
47.79,,2.02,-174.05,-1.13,4.32,-7.51,1.64,False,False,False,False,False,False,-0.018,0.02,True,False,LOW
47.82,,1.82,-174.88,-1.35,4.31,-7.56,1.62,False,False,False,False,False,False,-0.021,0.026,True,False,LOW
47.998,,1.31,-176.21,-1.29,4.01,-8.43,1.58,False,False,False,False,False,False,-0.014,0.009,True,False,LOW
48.02,,1.86,-175.58,-1.3,4.05,-8.44,1.57,False,False,False,False,False,False,-0.004,0.003,True,False,LOW
48.188,,1.79,-175.78,-1.3,4.14,-8.6,1.55,False,False,False,False,False,False,-0.008,-0.001,True,False,LOW
48.221,,2.19,-174.63,-1.24,4.23,-8.43,1.56,False,False,False,False,False,False,-0.003,-0.002,True,False,LOW
48.4,,2.49,-174.88,-1.25,4.6,-8.12,1.57,False,False,False,False,False,False,-0.001,0.004,True,False,LOW
48.423,,2.06,-175.41,-1.21,4.59,-8.15,1.58,False,False,False,False,False,False,0.001,0.006,True,False,LOW
48.59,,1.72,-175.26,-1.21,4.37,-8.19,1.6,False,False,False,False,False,False,-0.003,0.007,True,False,LOW
48.622,,1.87,-175.16,-1.12,4.36,-8.18,1.62,False,False,False,False,False,False,-0.002,0.007,True,False,LOW
48.798,,0.98,-175.38,-0.96,3.86,-8.27,1.75,False,False,False,False,False,False,-0.009,0.009,True,False,LOW
48.821,,1.96,-174.06,-1.33,3.93,-8.11,1.72,False,False,False,False,False,False,0.016,0.057,False,False,LOW
48.991,,1.7,-175.17,-1.77,4.04,-8.12,1.38,False,False,False,False,False,False,0.016,0.057,False,False,LOW
49.022,,2.15,-174.02,-1.74,4.13,-7.93,1.33,False,False,False,False,False,False,-0.015,0.019,True,False,LOW
49.198,,1.86,-174.24,-1.48,4.22,-7.54,1.34,False,False,False,False,False,False,-0.011,0.011,True,False,LOW
49.222,,2.54,-175.15,-1.27,4.32,-7.62,1.37,False,False,False,False,False,False,-0.008,0.007,True,False,LOW
49.398,,2.23,-176.79,-1.39,4.51,-8.76,1.41,False,False,False,False,False,False,-0.005,0.005,True,False,LOW
49.422,,1.28,-178.11,-1.47,4.4,-9.1,1.4,False,False,False,False,False,False,-0.006,0.009,True,False,LOW
49.595,,1.26,-178.27,-1.42,4.03,-10.27,1.41,False,False,False,False,False,False,-0.008,0.008,True,False,LOW
49.617,,2.33,-178.51,-1.28,4.12,-10.43,1.42,False,False,False,False,False,False,-0.004,0.007,True,False,LOW
49.791,,3.32,-179.7,-1.54,4.99,-11.66,1.35,False,False,False,False,False,False,-0.001,0.007,True,False,LOW
49.819,,4.35,-178.33,-1.55,5.29,-11.6,1.34,False,False,False,False,False,False,0.0,0.004,True,False,LOW
49.998,,4.33,-177.87,-1.31,6.1,-11.19,1.44,False,False,False,False,False,False,-0.003,0.009,True,False,LOW
50.022,,3.9,-177.54,-1.21,6.13,-11.1,1.46,False,False,False,False,False,False,0.002,0.005,True,False,LOW
50.189,,4.29,-177.5,-1.23,6.45,-10.78,1.53,False,False,False,False,False,False,0.001,0.004,True,False,LOW
50.224,,4.63,-177.72,-1.06,6.56,-10.76,1.58,False,False,False,False,False,False,0.003,0.007,True,False,LOW
50.397,,4.29,-178.66,-0.89,6.65,-11.22,1.77,False,False,False,False,False,False,0.003,0.006,True,False,LOW
50.421,,4.01,-177.89,-0.9,6.63,-11.17,1.79,False,False,False,False,False,False,0.001,0.004,True,False,LOW
50.591,,3.98,-178.35,-1.03,6.52,-11.25,1.79,False,False,False,False,False,False,0.003,0.003,True,False,LOW
50.62,,4.19,-178.15,-0.98,6.54,-11.23,1.8,False,False,False,False,False,False,0.003,0.005,True,False,LOW
50.798,,4.12,-178.47,-1.11,6.55,-11.34,1.76,False,False,False,False,False,False,0.002,0.006,True,False,LOW
50.821,,4.28,-178.43,-1.03,6.57,-11.35,1.76,False,False,False,False,False,False,0.005,0.006,True,False,LOW
50.988,,4.23,-178.39,-1.1,6.62,-11.35,1.75,False,False,False,False,False,False,0.004,0.003,True,False,LOW
51.021,,4.32,-177.97,-1.32,6.65,-11.28,1.71,False,False,False,False,True,True,-0.01,0.036,True,False,LOW
51.198,,3.84,-177.24,-1.23,6.45,-10.71,1.65,False,False,False,False,False,False,0.043,0.021,True,False,LOW
51.221,,3.32,-177.53,-1.16,6.36,-10.68,1.65,False,False,False,False,False,False,0.052,0.011,True,False,LOW
51.39,,2.89,-177.68,-1.03,5.82,-10.67,1.73,False,False,False,False,False,False,0.051,0.01,True,False,LOW
51.421,,3.28,-178.32,-1.0,5.8,-10.77,1.75,False,False,False,False,False,False,0.053,0.008,True,False,LOW
51.597,,3.02,-178.08,-1.14,5.62,-10.92,1.72,False,False,False,False,False,False,0.051,0.008,True,False,LOW
51.621,,3.36,-177.79,-1.13,5.65,-10.9,1.71,False,False,False,False,False,False,0.051,0.011,True,False,LOW
51.788,,3.4,-178.46,-1.12,5.75,-11.17,1.71,False,False,False,False,False,False,0.049,0.007,True,False,LOW
51.821,,3.55,-178.7,-1.16,5.79,-11.26,1.7,False,False,False,False,False,False,0.053,0.006,True,False,LOW
51.998,,3.43,-178.36,-1.09,5.83,-11.3,1.72,False,False,False,False,False,False,0.053,0.006,True,False,LOW
52.02,,3.9,-177.86,-1.36,5.89,-11.24,1.69,False,False,False,False,False,False,-0.009,0.0,True,False,LOW
52.192,,4.28,-178.06,-1.58,6.33,-11.13,1.46,False,False,False,False,False,False,-0.005,-0.001,True,False,LOW
52.222,,4.31,-177.74,-1.68,6.4,-11.06,1.41,False,False,False,False,False,False,-0.021,0.033,True,False,LOW
52.398,,4.27,-177.74,-1.89,6.56,-10.88,1.16,False,False,False,False,False,False,-0.02,0.033,True,False,LOW
52.421,,4.04,-177.78,-1.97,6.55,-10.86,1.12,False,False,False,False,True,True,-0.04,0.045,True,False,LOW
52.591,,4.23,-177.33,-1.86,6.61,-10.57,1.04,False,False,False,False,False,False,-0.004,0.02,True,False,LOW
52.62,,4.23,-177.7,-1.57,6.62,-10.58,1.08,False,False,False,False,False,False,0.002,0.014,True,False,LOW
52.796,,4.23,-177.56,-1.42,6.65,-10.56,1.25,False,False,False,False,False,False,-0.002,0.01,True,False,LOW
52.819,,4.29,-178.66,-1.38,6.66,-10.7,1.28,False,False,False,False,False,False,-0.002,0.005,True,False,LOW
52.989,,4.28,-178.39,-1.4,6.69,-11.04,1.36,False,False,False,False,False,False,0.002,0.003,True,False,LOW
53.02,,4.48,-178.19,-1.43,6.73,-11.06,1.36,False,False,False,False,False,False,-0.001,0.005,True,False,LOW
53.198,,4.61,-178.04,-1.45,6.9,-11.03,1.37,False,False,False,False,False,False,-0.002,0.005,True,False,LOW
53.224,,4.39,-178.28,-1.49,6.89,-11.07,1.37,False,False,False,False,False,False,-0.001,0.008,True,False,LOW
53.401,,4.28,-178.41,-1.51,6.8,-11.23,1.34,False,False,False,False,False,False,0.0,0.006,True,False,LOW
53.425,,4.39,-178.51,-1.56,6.8,-11.27,1.33,False,False,False,False,False,False,0.002,0.004,True,False,LOW
53.601,,4.35,-178.91,-1.54,6.8,-11.59,1.31,False,False,False,False,False,False,0.002,0.004,True,False,LOW
53.625,,4.26,-178.49,-1.51,6.78,-11.57,1.31,False,False,False,False,False,False,0.002,0.004,True,False,LOW
53.799,,4.24,-178.49,-1.5,6.73,-11.51,1.32,False,False,False,False,False,False,-0.0,0.005,True,False,LOW
53.823,,4.24,-178.5,-1.47,6.72,-11.51,1.33,False,False,False,False,False,False,0.001,0.006,True,False,LOW
54.005,,4.37,-178.48,-1.55,6.77,-11.48,1.3,False,False,False,False,False,False,0.003,0.006,True,False,LOW
54.027,,4.33,-178.54,-1.52,6.77,-11.48,1.3,False,False,False,False,False,False,0.002,0.005,True,False,LOW
54.202,,4.44,-178.56,-1.48,6.83,-11.51,1.33,False,False,False,False,False,False,0.001,0.005,True,False,LOW
54.224,,4.69,-178.41,-1.48,6.87,-11.49,1.33,False,False,False,False,False,False,0.001,0.004,True,False,LOW
54.4,,4.71,-178.62,-1.5,7.02,-11.54,1.33,False,False,False,False,False,False,0.0,0.004,True,False,LOW
54.423,,4.74,-178.6,-1.55,7.04,-11.55,1.32,False,False,False,False,False,False,0.001,0.005,True,False,LOW
54.589,,4.71,-178.51,-1.48,7.09,-11.51,1.34,False,False,False,False,False,False,-0.0,0.003,True,False,LOW
54.62,,5.2,-178.85,-1.44,7.19,-11.56,1.35,False,False,False,False,False,False,-0.0,0.003,True,False,LOW
54.799,,5.11,-178.52,-1.51,7.38,-11.52,1.33,False,False,False,False,False,False,0.004,0.003,True,False,LOW
54.823,,5.31,-178.59,-1.49,7.43,-11.53,1.33,False,False,False,False,False,False,0.004,0.003,True,False,LOW
54.988,,5.53,-178.83,-1.43,7.71,-11.67,1.37,False,False,False,False,False,False,0.004,0.003,True,False,LOW
55.011,,5.57,-179.0,-1.39,7.75,-11.71,1.38,False,False,False,False,False,False,0.001,0.002,True,False,LOW
55.199,,5.32,-178.76,-1.37,7.75,-11.72,1.42,False,False,False,False,False,False,0.001,0.001,True,False,LOW
55.222,,5.57,-179.03,-1.36,7.79,-11.76,1.43,False,False,False,False,False,False,0.002,0.0,True,False,LOW
55.393,,5.41,-178.86,-1.27,7.82,-11.79,1.5,False,False,False,False,False,False,0.005,0.002,True,False,LOW
55.416,,5.23,-178.65,-1.26,7.8,-11.77,1.51,False,False,False,False,False,False,0.004,0.0,True,False,LOW
55.6,,5.42,-179.15,-1.31,7.83,-11.96,1.51,False,False,False,False,False,False,0.006,-0.0,True,False,LOW
55.624,,5.22,-178.91,-1.39,7.81,-11.95,1.5,False,False,False,False,False,False,0.001,0.0,True,False,LOW
55.788,,5.41,-178.73,-1.53,7.83,-11.82,1.4,False,False,False,False,False,False,0.005,-0.0,True,False,LOW
55.811,,5.53,-178.54,-1.49,7.85,-11.78,1.39,False,False,False,False,False,False,0.001,0.002,True,False,LOW
55.997,,5.38,-178.79,-1.48,7.83,-11.77,1.37,False,False,False,False,False,False,0.001,0.002,True,False,LOW
56.021,,5.41,-178.76,-1.46,7.84,-11.76,1.37,False,False,False,False,False,False,0.003,0.002,True,False,LOW
56.187,,5.57,-178.81,-1.45,7.92,-11.77,1.37,False,False,False,False,False,False,0.002,0.002,True,False,LOW
56.21,,5.59,-178.87,-1.48,7.94,-11.78,1.37,False,False,False,False,False,False,0.003,0.003,True,False,LOW
56.402,,5.81,-178.52,-1.33,8.11,-11.62,1.44,False,False,False,False,False,False,0.005,0.0,True,False,LOW
56.428,,5.91,-178.28,-1.29,8.14,-11.57,1.46,False,False,False,False,False,False,0.001,0.002,True,False,LOW
56.592,,6.17,-178.32,-1.3,8.38,-11.43,1.49,False,False,False,False,False,False,-0.002,0.0,True,False,LOW
56.619,,6.28,-178.47,-1.4,8.43,-11.43,1.48,False,False,False,False,False,False,0.001,0.0,True,False,LOW
56.798,,6.21,-178.3,-1.42,8.55,-11.34,1.44,False,False,False,False,False,False,0.001,0.002,True,False,LOW
56.823,,6.32,-178.32,-1.4,8.58,-11.34,1.44,False,False,False,False,False,False,0.004,0.002,True,False,LOW
56.99,,6.37,-178.55,-1.43,8.7,-11.43,1.42,False,False,False,False,False,False,0.004,0.001,True,False,LOW
57.013,,6.18,-178.05,-1.45,8.69,-11.38,1.42,False,False,False,False,False,False,0.002,0.002,True,False,LOW
57.199,,5.88,-178.18,-1.41,8.49,-11.25,1.42,False,False,False,False,False,False,0.005,0.003,True,False,LOW
57.221,,5.92,-178.55,-1.36,8.47,-11.29,1.42,False,False,False,False,False,False,0.004,0.0,True,False,LOW
57.391,,6.08,-178.42,-1.34,8.5,-11.34,1.46,False,False,False,False,False,False,0.005,0.002,True,False,LOW
57.415,,6.08,-178.51,-1.32,8.5,-11.36,1.47,False,False,False,False,False,False,0.005,0.002,True,False,LOW
57.594,,6.02,-178.88,-1.35,8.48,-11.62,1.47,False,False,False,False,False,False,0.004,0.001,True,False,LOW
57.616,,6.17,-178.51,-1.34,8.5,-11.6,1.48,False,False,False,False,False,False,0.005,0.002,True,False,LOW
57.79,,7.6,-177.91,-1.57,9.31,-11.22,1.36,False,False,False,False,False,False,-0.006,0.008,True,False,LOW
57.812,,11.95,-179.33,-1.68,10.05,-11.36,1.34,False,False,False,False,False,False,0.006,0.018,True,False,LOW
57.997,,16.26,-178.55,-1.75,15.22,-11.45,1.2,False,False,False,False,False,False,0.004,-0.001,True,False,LOW
58.02,,20.63,-177.19,-1.55,16.66,-11.28,1.21,False,False,False,False,False,False,0.016,0.013,True,False,LOW
58.189,,27.49,-176.15,-1.09,24.91,-10.13,1.48,False,False,False,False,True,True,0.004,0.039,True,False,LOW
58.213,,36.6,-174.65,0.69,28.2,-9.76,1.77,False,False,False,False,True,True,-0.184,-0.012,True,False,LOW
58.399,,43.59,-173.07,3.05,40.35,-7.63,4.1,True,False,False,False,True,True,-0.181,-0.034,True,False,LOW
58.422,,44.29,-173.44,2.53,41.77,-7.45,4.28,True,False,False,False,True,True,-0.226,-0.037,True,False,LOW
58.591,,44.88,-173.77,2.61,45.25,-7.07,4.91,True,False,False,False,True,True,-0.225,-0.032,True,False,LOW
58.614,,44.55,-174.38,2.71,45.57,-7.11,4.99,True,False,False,False,True,True,-0.231,-0.027,True,False,LOW
58.8,,44.79,-174.78,2.43,46.57,-7.46,5.14,True,False,False,False,True,True,-0.183,-0.028,True,False,LOW
58.941,,44.45,-174.77,2.46,46.73,-7.59,5.21,True,False,False,False,True,True,-0.164,-0.024,True,False,LOW
59.041,,43.85,-175.07,2.47,46.55,-7.76,5.25,True,False,False,False,True,True,-0.172,-0.019,True,False,LOW
59.065,,43.85,-176.63,1.39,46.52,-8.02,5.11,True,False,False,False,False,True,-0.068,-0.009,True,False,LOW
59.199,,44.0,-177.28,1.01,46.48,-9.09,4.52,True,False,False,False,False,True,-0.059,-0.002,True,False,LOW
59.223,,43.93,-177.28,0.9,46.47,-9.26,4.41,True,False,False,False,False,True,-0.074,-0.008,True,False,LOW
59.39,,43.62,-177.37,1.31,46.26,-9.83,4.27,True,False,False,False,False,True,-0.04,-0.003,True,False,LOW
59.413,,44.58,-175.35,2.08,46.36,-9.64,4.35,True,False,False,False,False,True,-0.008,-0.007,True,False,LOW
59.598,,44.28,-176.48,1.22,46.55,-9.54,4.19,True,False,False,False,False,True,-0.001,0.006,True,False,LOW
59.621,,45.21,-175.81,1.71,46.7,-9.44,4.23,True,False,False,False,False,True,0.057,-0.006,True,False,LOW
59.788,,45.22,-176.65,1.25,47.2,-9.53,4.15,True,False,False,False,False,True,-0.084,-0.013,True,False,LOW
59.812,,46.3,-174.34,2.7,47.41,-9.22,4.34,True,False,False,False,True,True,-0.223,-0.02,True,False,LOW
59.999,,46.25,-174.55,2.63,48.13,-8.27,4.96,True,False,False,False,True,True,-0.209,-0.006,True,False,LOW
60.021,,46.39,-175.17,1.71,48.22,-8.25,4.91,True,False,False,False,True,True,-0.217,-0.022,True,False,LOW
